type,area_sqft,price,beds,bath,city,area
Apartment,2200,50000,3,4,Dhaka,Bashundhara R-A
Apartment,1400,30000,3,4,Chattogram,Khulshi
Apartment,1950,30000,3,4,Dhaka,Bashundhara R-A
Apartment,2000,35000,3,3,Dhaka,Uttara
Apartment,1650,25000,3,4,Dhaka,Bashundhara R-A
Apartment,3400,110000,5,5,Dhaka,Gulshan
Apartment,1600,35000,3,3,Dhaka,Uttara
Apartment,1250,23000,3,3,Dhaka,Bashundhara R-A
Apartment,2150,40000,3,4,Dhaka,Uttara
Apartment,1580,20000,3,3,Chattogram,Chattogram
Apartment,3200,250000,4,4,Dhaka,Gulshan
Apartment,3000,120000,3,3,Dhaka,Gulshan
Apartment,1250,21000,3,3,Dhaka,Bashundhara R-A
Apartment,1800,60000,3,4,Dhaka,Uttara
Apartment,2000,40000,3,3,Dhaka,Bashundhara R-A
Apartment,1750,30000,3,4,Dhaka,Bashundhara R-A
Apartment,1310,28000,3,3,Dhaka,Chowdhuripara
Apartment,2200,60000,3,4,Dhaka,Uttara
Apartment,1700,75000,3,4,Dhaka,Dhaka
Apartment,2750,120000,4,4,Dhaka,Dhaka
Apartment,1400,28000,3,2,Dhaka,Dhaka
Apartment,2500,55000,4,4,Dhaka,Baridhara
Apartment,550,12000,1,1,Dhaka,Mirpur
Apartment,1050,21000,3,2,Dhaka,Mohanagar Housing
Apartment,1350,30000,2,4,Chattogram,South Khulshi
Apartment,3590,200000,4,5,Dhaka,Dhaka
Apartment,2200,110000,4,5,Chattogram,South Khulshi
Apartment,1250,20000,3,3,Dhaka,Bashundhara R-A
Apartment,400,10000,1,1,Dhaka,Dhaka
Apartment,1250,18000,3,3,Dhaka,Dhaka Uddan
Apartment,2400,150000,3,3,Dhaka,Gulshan
Apartment,500,10000,1,1,Dhaka,Mohammadpur
Apartment,1650,85000,3,3,Dhaka,Dhaka
Apartment,1700,30000,4,3,Dhaka,Section 2
Apartment,1600,70000,3,3,Chattogram,Khulshi
Apartment,2300,43000,4,4,Dhaka,Mohanagar Housing
Apartment,1250,21000,3,3,Dhaka,Bashundhara R-A
Duplex,4350,110000,5,6,Dhaka,Uttara
Apartment,3200,100000,4,5,Dhaka,Bashundhara R-A
Apartment,2000,80000,4,5,Chattogram,North Khulshi
Apartment,2000,45000,3,4,Dhaka,Dhaka
Apartment,1200,25000,3,3,Dhaka,Mohammadpur
